"Ancestry/Origin","ID","","Individual","astl","astl","astl","astr","astr","astr","bas","bas","bas","brg","brg","brg","dacl","dacl","dacl","dacr","dacr","dacr","ecml","ecml","ecml","ecmr","ecmr","ecmr","ectl","ectl","ectl","ectr","ectr","ectr","fmal","fmal","fmal","fmar","fmar","fmar","fmtl","fmtl","fmtl","fmtr","fmtr","fmtr","glb","glb","glb","lam","lam","lam","mastl","mastl","mastl","mastr","mastr","mastr","nas","nas","nas","obhi","obhi","obhi","obhir","obhir","obhir","obhs","obhs","obhs","obhsr","obhsr","obhsr","ops","ops","ops","proHEST","proHEST","proHEST","ssp","ssp","ssp","wnbl","wnbl","wnbl","wnbr","wnbr","wnbr","zygl","zygl","zygl","zygoml","zygoml","zygoml","zygomr","zygomr","zygomr","zygool","zygool","zygool","zygoor","zygoor","zygoor","zygr","zygr","zygr"
"African American","12","CAPHIL","F","-212.3948","-128.161599999999","229.1319","-244.740299999999","-15.2396999999999","230.8951","-278.2925","-85.117","242.3177","-202.0883","-71.7160999999999","350.224499999999","-306.4782","-108.4641","316.5833","-314.2516","-84.7139999999999","317.005499999999","-9999","-9999","-9999","-9999","-9999","-9999","-292.0781","-143.0045","307.439399999999","-320.856499999999","-48.8804","309.569599999999","-288.6086","-143.012599999999","314.283099999999","-317.4195","-46.8551","319.5665","-282.6809","-142.4747","314.2314","-312.220199999999","-43.1708","317.433899999999","-307.840599999999","-96.2788","340.5833","-9999","-9999","-9999","-265.9896","-136.0925","226.523799999999","-292.377799999999","-38.1644","225.0823","-310.641099999999","-97.6388","329.9159","-312.7606","-129.2691","301.4796","-9999","-9999","-9999","-293.3521","-129.188199999999","331.5969","-9999","-9999","-9999","-258.2008","-77.2039999999999","216.5475","-9999","-9999","-9999","-9999","-9999","-9999","-314.2581","-101.9569","321.7735","-316.279999999999","-95.0220999999999","321.985099999999","-277.100799999999","-150.9051","271.938899999999","-312.0971","-145.8479","283.256399999999","-338.646999999999","-56.3806","286.934399999999","-314.0855","-125.7073","302.4648","-330.089099999999","-74.5664","304.504799999999","-309.327099999999","-29.4371","273.974499999999"
"African American","13","CAPHIL","F","-224.2136","77.9224999999999","192.429399999999","-323.827","122.2679","203.168","-294.6709","58.9142999999999","212.331999999999","-256.516799999999","115.7676","320.168099999999","-298.418","23.9951","283.2619","-318.5278","34.0535","285.636799999999","-285.5844","4.38809999999999","234.3032","-343.1537","28.9664","236.2576","-262.1245","12.5004","270.1856","-351.5151","54.8757","276.305499999999","-258.5754","16.5097999999999","277.2706","-348.0935","57.5334999999999","284.3437","-255.0653","19.1883","279.696","-348.420799999999","63.2607","284.0604","-304.3557","28.4675","305.7545","-9999","-9999","-9999","-249.8673","40.0872","195.6371","-339.0058","78.4941","199.1824","-306.176499999999","23.8161999999999","298.269499999999","-288.148199999999","9.4204","269.331799999999","-9999","-9999","-9999","-272.5246","22.3026","295.142999999999","-9999","-9999","-9999","-285.8709","80.4861999999999","181.735199999999","-330.797399999999","-13.1313","255.1448","-326.4777","-3.67729999999999","259.687999999999","-305.3449","21.9434","289.253499999999","-315.893899999999","27.2236","290.349699999999","-241.498899999999","24.1251","239.739","-276.543499999999","-0.904599999999999","248.1405","-356.7896","35.7139","254.4812","-287.9522","9.2186","269.1021","-338.9558","33.4887999999999","272.571399999999","-355.046699999999","80.1127","248.5869"
"African American","14","CAPHIL","M","-63.9339","312.870799999999","210.9541","-165.5302","351.0488","214.2062","-134.5205","277.035399999999","227.649499999999","-102.8471","361.7477","330.4601","-130.3547","254.455199999999","315.2488","-152.987599999999","261.4044","317.133199999999","-122.1442","218.0248","262.8856","-186.248799999999","245.0903","265.9519","-93.1604999999999","243.6593","305.772699999999","-188.1663","280.975399999999","305.8005","-90.9268","250.472","316.332699999999","-186.203599999999","287.3355","316.1277","-86.2348999999999","255.689699999999","317.722199999999","-184.6937","294.2124","316.856699999999","-141.4446","260.6891","338.0239","-9999","-9999","-9999","-85.5043","259.2885","211.343899999999","-182.3698","303.7337","211.431","-141.923499999999","258.3007","329.808899999999","-117.8892","231.746299999999","303.851","-9999","-9999","-9999","-103.9701","256.4986","329.689399999999","-9999","-9999","-9999","-126.3019","301.4399","198.1039","-164.8253","202.4967","291.7527","-160.9669","212.360099999999","296.658799999999","-141.098899999999","253.087099999999","323.4669","-146.0052","255.013399999999","324.0826","-74.0002","248.9832","272.4778","-108.3831","218.1472","285.725599999999","-191.7947","253.166","291.0634","-122.380399999999","234.058799999999","305.3912","-172.9494","253.0369","307.0613","-196.5602","298.9164","272.8654"
"African American","15","CAPHIL","F","-212.3948","-128.161599999999","229.1319","-244.740299999999","-15.2396999999999","230.8951","-278.2925","-85.117","242.3177","-202.0883","-71.7160999999999","350.224499999999","-306.4782","-108.4641","316.5833","-314.2516","-84.7139999999999","317.005499999999","-9999","-9999","-9999","-9999","-9999","-9999","-292.0781","-143.0045","307.439399999999","-320.856499999999","-48.8804","309.569599999999","-288.6086","-143.012599999999","314.283099999999","-317.4195","-46.8551","319.5665","-282.6809","-142.4747","314.2314","-312.220199999999","-43.1708","317.433899999999","-307.840599999999","-96.2788","340.5833","-165.4009","-52.7948","238.899599999999","-265.9896","-136.0925","226.523799999999","-292.377799999999","-38.1644","225.0823","-310.641099999999","-97.6388","329.9159","-312.7606","-129.2691","301.4796","-9999","-9999","-9999","-293.3521","-129.188199999999","331.5969","-9999","-9999","-9999","-258.2008","-77.2039999999999","216.5475","-9999","-9999","-9999","-9999","-9999","-9999","-314.2581","-101.9569","321.7735","-316.279999999999","-95.0220999999999","321.985099999999","-277.100799999999","-150.9051","271.938899999999","-312.0971","-145.8479","283.256399999999","-338.646999999999","-56.3806","286.934399999999","-314.0855","-125.7073","302.4648","-330.089099999999","-74.5664","304.504799999999","-309.327099999999","-29.4371","273.974499999999"
"African American","16","CAPHIL","M","-222.277099999999","-120.9668","226.797699999999","-259.5883","-17.11","226.989","-294.453899999999","-86.3272999999999","235.4864","-215.2726","-63.5671","351.9868","-319.4404","-107.7746","319.400199999999","-326.2121","-89.1169","320.4897","-326.5124","-131.6945","260.6467","-347.3494","-69.8811","264.4966","-301.132499999999","-142.656","308.014799999999","-331.9984","-50.0296","310.598799999999","-294.783399999999","-142.2469","316.8206","-325.7448","-46.8787999999999","319.8482","-289.824599999999","-140.9862","315.854499999999","-321.305799999999","-44.3389","318.721799999999","-320.0262","-99.1833","342.231299999999","-175.354099999999","-47.4086","242.745499999999","-277.4395","-133.639","221.0479","-309.1104","-37.5698","227.8469","-322.6591","-99.4317999999999","334.3104","-324.6001","-129.758","306.404299999999","-9999","-9999","-9999","-303.941899999999","-126.8425","334.9811","-9999","-9999","-9999","-268.397899999999","-77.2010999999999","212.5821","-368.697799999999","-114.0078","285.493299999999","-360.9117","-109.9872","290.1909","-327.315","-105.915499999999","323.2405","-330.0681","-94.9975","323.5675","-283.049899999999","-151.3741","274.963","-324.135699999999","-147.0336","284.8523","-353.190299999999","-55.2989","288.174699999999","-327.1904","-122.576899999999","307.6868","-340.104699999999","-81.5122999999999","308.7545","-320.754599999999","-28.1107","277.93"
"African American","17","NC","M","95.0665","-108.7936","250.743599999999","132.0086","-212.7596","248.209599999999","138.785699999999","-155.4747","294.622799999999","19.8029","-199.2296","317.6483","100.2172","-161.5526","378.949299999999","106.7873","-181.96","378.4913","144.9468","-121.3492","361.756399999999","168.872199999999","-183.8992","361.892699999999","95.2865","-122.3608","368.8025","126.9905","-216.2983","364.101299999999","84.2308","-124.034","369.812099999999","117.068","-221.9266","364.134999999999","80.6937","-122.6015","366.8457","115.3764","-223.1448","358.8084","86.4039999999999","-181.3364","390.960399999999","61.0908","-175.8107","209.5043","139.235099999999","-98.8773999999999","287.1265","172.8822","-197.4957","282.5373","93.7317","-176.6001","387.854199999999","113.3185","-134.5121","378.908099999999","130.015099999999","-192.686299999999","378.3394","75.6291999999999","-149.0028","381.386799999999","99.9779","-214.868799999999","375.8924","138.8672","-152.5789","260.4338","162.2827","-154.090499999999","402.907899999999","145.303699999999","-158.1483","394.8045","99.6423","-170.438999999999","386.9597","102.900899999999","-176.542","386.8877","-9999","-9999","-9999","127.6372","-112.4818","371.1888","157.9957","-204.8923","366.721999999999","113.7906","-131.4228","378.9691","135.100599999999","-198.626299999999","375.397299999999","147.1654","-224.7133","334.410199999999"
"African American","18","NC","M","150.5473","56.1278999999999","241.8547","251.242099999999","50.7526","241.9658","199.2236","64.8877999999999","292.622999999999","194.2886","-57.8611999999999","302.183899999999","188.476","28.0465","367.1216","210.496199999999","25.471","367.984699999999","-9999","-9999","-9999","-9999","-9999","-9999","151.0848","38.6186999999999","359.6317","249.485899999999","28.5064999999999","359.334499999999","150.410699999999","29.6783","360.4438","247.712899999999","25.7285","359.9843","147.9744","27.9917","354.7687","249.9443","23.7874","356.3351","199.914199999999","13.1617999999999","380.5194","196.6267","0.4509","201.6155","153.2185","92.8088","282.6653","249.1131","89.4428","281.185799999999","198.0112","21.8205999999999","377.995799999999","169.587899999999","50.3267","372.990099999999","229.732499999999","43.8620999999999","372.8229","165.382","12.7441","370.543499999999","235.9076","7.27379999999999","368.370799999999","201.2399","76.8382","259.4818","-9999","-9999","-9999","204.1344","72.2077","390.036999999999","196.039199999999","27.5154999999999","379.030899999999","202.2902","27.9850999999999","379.324599999999","138.4275","53.0889","327.550999999999","158.9443","71.0401999999999","364.7423","248.231599999999","63.2177999999999","364.5693","170.635099999999","49.8479999999999","372.982899999999","232.425199999999","44.2231","372.451799999999","262.9032","42.45","328.7744"
"African American","19","NC","M","147.0628","51.6407","243.258","256.9782","48.933","249.1875","201.1996","82.3723999999999","299.4187","194.7741","-66.1286","327.17","191.285699999999","39.4465","387.0316","216.5037","38.9947999999999","386.8738","167.7079","98.8020999999999","372.549899999999","234.2581","98.7446999999999","373.415","152.5378","48.9726","373.8698","253.958499999999","46.5","374.7746","150.5619","38.6809","377.197499999999","253.197499999999","36.7667","375.8263","149.672","38.591","372.1046","254.5196","35.4834999999999","372.2026","201.5052","23.5841999999999","403.637299999999","201.3495","-18.0279999999999","212.833","148.0727","88.2871999999999","285.6956","253.5446","85.0230999999999","288.319","202.238699999999","32.1863999999999","397.453899999999","175.4504","62.4286","386.132499999999","232.5334","58.6122","387.7384","164.6919","28.9869999999999","390.9298","243.708599999999","25.7384999999999","390.0434","204.0175","81.8988999999999","261.5436","206.7884","101.4736","410.8561","205.2277","84.4047999999999","401.8088","199.2487","39.4577999999999","394.414899999999","207.8646","40.7169999999999","394.9997","140.045099999999","64.4866999999999","339.827699999999","156.1146","80.8305","374.939","251.581799999999","76.5093999999999","378.5414","173.5204","63.0067999999999","385.7318","233.665799999999","58.8620999999999","387.775699999999","266.6005","59.7847999999999","342.329"
"African American","20","SI TERRY COLLECTION","F","-9999","-9999","-9999","222.3759","136.0173","252.493699999999","232.0995","178.4772","312.664899999999","110.9903","182.3788","279.8844","170.2992","187.2785","366.476999999999","170.0466","164.4548","367.2065","221.859299999999","206.7838","370.1327","222.857499999999","142.3038","367.8897","182.6774","224.1388","361.490799999999","182.143","127.8482","356.565699999999","169.7177","224.828599999999","359.933699999999","169.529","129.1057","356.223099999999","165.3606","226.670899999999","355.6327","168.158899999999","126.8435","354.078399999999","153.7372","176.9118","370.6943","190.049499999999","183.568199999999","210.184699999999","245.8272","226.281299999999","305.4397","241.4482","131.578499999999","304.4528","160.9144","176.121399999999","371.0401","192.381","211.71","374.711999999999","-9999","-9999","-9999","159.486799999999","215.0523","363.1343","-9999","-9999","-9999","242.5234","180.8529","281.1062","222.9896","172.5012","404.7049","209.0551","173.3151","391.9214","170.3189","179.2887","373.759599999999","171.7972","171.6322","374.502","209.1903","237.604099999999","333.813899999999","210.8247","219.595","370.272699999999","214.596499999999","133.2182","364.006199999999","191.953499999999","201.3657","376.5165","191.168399999999","149.3588","373.6997","212.6746","117.1421","329.036499999999"
"African American","21","SI TERRY COLLECTION","F","211.4188","232.645999999999","258.7724","217.2671","130.0582","252.9008","227.4968","182.4189","302.847699999999","110.9223","172.7107","292.6139","173.9978","184.534699999999","376.5027","176.8235","163.0697","376.338399999999","225.519499999999","210.0749","364.102199999999","230.1689","145.7401","364.520899999999","179.3625","223.434599999999","367.3351","185.728299999999","127.5924","361.548299999999","168.8178","221.603299999999","367.2902","176.1038","127.6617","361.6168","167.271199999999","225.720499999999","364.897899999999","174.705199999999","123.0638","361.1741","155.827","172.5342","382.7062","171.9487","181.98","208.5859","235.2826","232.3334","296.5652","235.9067","130.5566","293.293499999999","166.357499999999","174.0376","382.125499999999","194.4429","210.658199999999","377.4391","-9999","-9999","-9999","155.4864","207.596399999999","375.879399999999","-9999","-9999","-9999","242.787399999999","184.7442","267.5376","226.472299999999","175.457799999999","402.622999999999","217.258299999999","174.470599999999","396.083599999999","174.9977","177.8026","380.113699999999","177.6105","169.4699","382.1548","199.738599999999","241.4559","335.785399999999","209.1261","222.9676","371.835199999999","215.148799999999","131.8795","364.964099999999","195.3831","203.0556","378.124","198.241899999999","144.3941","374.2459","208.386599999999","113.2716","334.0509"
