"Ancestry/Origin","ID","","Individual","astl","astl","astl","astr","astr","astr","bas","bas","bas","brg","brg","brg","dacl","dacl","dacl","dacr","dacr","dacr","ecml","ecml","ecml","ecmr","ecmr","ecmr","ectl","ectl","ectl","ectr","ectr","ectr","fmal","fmal","fmal","fmar","fmar","fmar","fmtl","fmtl","fmtl","fmtr","fmtr","fmtr","glb","glb","glb","lam","lam","lam","mastl","mastl","mastl","mastr","mastr","mastr","nas","nas","nas","obhi","obhi","obhi","obhir","obhir","obhir","obhs","obhs","obhs","obhsr","obhsr","obhsr","ops","ops","ops","proHEST","proHEST","proHEST","ssp","ssp","ssp","wnbl","wnbl","wnbl","wnbr","wnbr","wnbr","zygl","zygl","zygl","zygoml","zygoml","zygoml","zygomr","zygomr","zygomr","zygool","zygool","zygool","zygoor","zygoor","zygoor","zygr","zygr","zygr"
"African American","139","UTK DONATED","M","-207.0393","-222.617099999999","152.376","-145.4555","-142.3385","152.455","-208.6389","-159.8322","195.519299999999","-111.0815","-230.1682","247.4627","-196.663099999999","-183.680499999999","283.174399999999","-181.275499999999","-163.0609","283.0382","-9999","-9999","-9999","-9999","-9999","-9999","-223.9813","-214.9061","272.362399999999","-161.7792","-126.3738","271.553699999999","-217.4435","-220.5004","278.2663","-150.8015","-133.3389","278.904999999999","-215.485199999999","-224.8658","280.324799999999","-145.741199999999","-133.7259","279.2868","-180.354899999999","-181.471399999999","301.9553","-135.9538","-214.545199999999","133.3634","-245.5771","-199.0319","176.908099999999","-184.9178","-117.2681","168.6997","-186.0936","-176.7817","296.0647","-224.4249","-187.974999999999","278.756199999999","-9999","-9999","-9999","-202.9361","-214.923","291.0622","-9999","-9999","-9999","-204.4215","-161.986099999999","157.526999999999","-9999","-9999","-9999","-229.2167","-143.7297","292.436699999999","-194.3811","-172.350699999999","292.4024","-191.7577","-169.725599999999","290.9053","-241.949199999999","-217.4151","234.897799999999","-245.604199999999","-189.689799999999","270.309399999999","-189.285699999999","-112.2567","269.801699999999","-222.7242","-186.0869","279.760899999999","-186.778899999999","-136.3536","279.9221","-160.2581","-109.350399999999","230.307199999999"
"African American","140","UTK DONATED","M","-185.0689","-243.9908","156.3741","-143.2673","-151.3891","154.8622","-193.662499999999","-181.7312","196.4987","-86.2154","-225.8612","255.1011","-183.8272","-195.8638","288.5701","-176.705","-175.1832","286.7912","-237.488","-197.8557","253.5333","-215.7119","-135.7537","253.8818","-204.499799999999","-228.7956","273.686699999999","-166.642799999999","-139.828","271.845899999999","-194.3736","-232.5312","281.3175","-156.7872","-142.9137","278.4248","-193.0131","-236.1429","281.0036","-152.4109","-140.7056","278.697499999999","-169.9349","-190.293","304.0396","-117.6529","-222.6921","136.232599999999","-223.4744","-223.3444","182.7632","-181.980099999999","-135.6297","179.6833","-174.143","-188.307199999999","300.4143","-209.401299999999","-205.2921","281.7952","-9999","-9999","-9999","-183.503199999999","-225.2259","291.916","-9999","-9999","-9999","-190.622099999999","-184.758999999999","161.8571","-236.3008","-163.3732","290.029699999999","-224.81","-167.835","287.1148","-182.222199999999","-188.725599999999","294.7988","-179.2456","-182.8039","294.7078","-213.9619","-239.99","232.6714","-228.8726","-209.6536","271.1005","-195.31","-136.3338","269.5565","-209.568099999999","-204.9275","281.992399999999","-187.1594","-155.080099999999","281.642699999999","-165.556299999999","-126.956599999999","230.454199999999"
"African American","141","UTK DONATED","M","-180.1159","-253.4521","158.185599999999","-132.8213","-158.7296","157.3642","-202.1454","-184.4307","194.6545","-94.8631","-237.7259","268.3754","-193.2756","-205.450899999999","289.991899999999","-180.7747","-178.1005","289.353799999999","-253.9225","-194.534899999999","266.519299999999","-220.6168","-134.7612","259.1009","-215.8235","-235.3058","275.7243","-169.6218","-142.8068","273.715899999999","-207.6904","-241.1775","280.8371","-159.5841","-145.9983","278.9776","-207.1251","-243.8023","280.026","-156.6433","-145.337799999999","278.3219","-173.8801","-198.2571","304.645699999999","-105.1483","-232.4881","141.4497","-228.7692","-226.582799999999","181.413","-183.899599999999","-137.0891","182.9804","-179.042","-196.238499999999","301.370999999999","-218.7718","-210.7365","284.012","-9999","-9999","-9999","-195.2807","-234.5918","293.591999999999","-9999","-9999","-9999","-192.586199999999","-188.7912","154.4456","-245.4394","-162.056099999999","295.5436","-231.1391","-169.3314","292.4092","-192.079199999999","-194.896199999999","298.2525","-186.919","-185.8305","296.7576","-225.5872","-244.2603","239.9318","-240.1866","-217.375699999999","270.805499999999","-197.3759","-134.2425","269.730799999999","-218.223299999999","-208.9419","285.0239","-192.211","-157.7178","284.333599999999","-166.4291","-129.6072","237.049299999999"
"African American","142","UTK DONATED","M","-190.5428","-197.696","168.8443","-139.7821","-102.0032","177.5327","-207.415899999999","-130.076899999999","208.496","-102.7103","-189.9297","277.8315","-208.717999999999","-148.8519","294.3226","-197.6921","-128.3229","296.1891","-9999","-9999","-9999","-9999","-9999","-9999","-227.1746","-182.294299999999","279.223099999999","-181.8564","-93.0618999999999","288.467499999999","-219.673399999999","-187.148799999999","285.8895","-172.070899999999","-98.2609","296.318199999999","-217.044","-191.1705","286.6831","-167.0311","-98.8961999999999","297.571599999999","-194.083","-146.5077","317.651999999999","-111.0671","-177.5257","162.3058","-239.9545","-168.5337","186.0017","-192.337099999999","-76.9244999999999","194.6953","-199.560399999999","-142.5064","312.032199999999","-235.2213","-156.792","286.535599999999","-9999","-9999","-9999","-206.163199999999","-179.8454","301.140899999999","-9999","-9999","-9999","-203.1963","-131.2606","173.445799999999","-250.6312","-113.9477","294.2029","-247.8128","-115.5205","297.0581","-207.5367","-143.9555","303.4855","-203.1421","-133.4752","305.2599","-233.596499999999","-191.0447","244.1978","-249.5215","-161.7817","271.024299999999","-207.6954","-84.5755","277.881899999999","-231.4738","-152.8093","288.8627","-206.596399999999","-104.4598","292.9001","-169.5671","-78.0302999999999","251.338799999999"
"African American","143","UTK DONATED","M","-186.7475","-239.0525","161.0873","-126.7608","-153.331999999999","153.448399999999","-188.1491","-172.987599999999","203.734199999999","-86.8508","-229.2765","257.2538","-184.6825","-179.9906","293.7953","-172.065699999999","-161.6859","293.0172","-9999","-9999","-9999","-9999","-9999","-9999","-208.081899999999","-210.9134","284.040399999999","-157.476","-127.9332","276.273799999999","-200.4023","-216.128899999999","289.1059","-149.1483","-133.4178","281.7486","-196.8934","-221.0019","290.4922","-143.7039","-133.129099999999","279.4427","-168.479199999999","-175.7221","307.4993","-110.57","-225.695899999999","141.093899999999","-228.9307","-203.2374","189.9907","-178.916599999999","-125.2829","181.4208","-173.6662","-172.412399999999","302.606699999999","-211.5876","-186.3179","287.12","-9999","-9999","-9999","-189.0838","-209.092","300.3577","-9999","-9999","-9999","-180.5453","-177.173399999999","168.638299999999","-232.306","-136.8856","288.044199999999","-222.301099999999","-143.179399999999","287.9021","-184.0017","-172.0256","297.824099999999","-179.8221","-163.8035","297.691599999999","-223.0122","-223.365299999999","248.363699999999","-234.7289","-193.3724","273.6994","-184.0986","-113.194999999999","269.680299999999","-211.6048","-185.446699999999","288.203599999999","-180.0782","-136.337999999999","285.477899999999","-149.7536","-113.9188","235.0404"
"African American","144","UTK DONATED","F","-205.588799999999","-232.8751","155.7246","-154.281299999999","-140.2529","153.9836","-208.028799999999","-168.94","194.6353","-104.2889","-228.808799999999","236.9974","-198.1651","-185.1037","276.0042","-189.014999999999","-165.966299999999","275.5305","-9999","-9999","-9999","-9999","-9999","-9999","-221.2748","-214.8839","262.783799999999","-172.5318","-133.364399999999","261.3835","-214.8872","-219.094799999999","265.2352","-167.906499999999","-135.7125","262.061699999999","-214.0085","-221.0403","265.4993","-167.0103","-135.6593","261.009099999999","-182.3908","-181.9027","288.1403","-119.434299999999","-221.197","135.8719","-238.1198","-206.3083","177.9934","-9999","-9999","-9999","-188.556199999999","-179.1747","284.500499999999","-226.3126","-191.2884","269.8211","-9999","-9999","-9999","-199.1416","-213.901999999999","279.4576","-9999","-9999","-9999","-205.2076","-171.117899999999","158.9349","-247.4572","-146.743599999999","275.7022","-232.592","-154.515999999999","275.967899999999","-199.735999999999","-178.4823","279.8863","-195.512499999999","-168.3548","280.1738","-237.8064","-220.883299999999","230.1673","-245.7139","-193.5552","256.8338","-205.4579","-123.181299999999","257.3605","-224.7809","-188.2708","271.218","-199.529799999999","-142.2572","271.155899999999","-177.7808","-116.7509","223.7151"
"African American","145","UTK DONATED","M","-196.2671","-245.7425","170.2791","-144.4923","-145.158999999999","159.9077","-198.1875","-176.102399999999","205.443999999999","-89.3251999999999","-228.8272","253.9984","-194.0102","-182.7177","290.1976","-183.4759","-162.733499999999","288.418999999999","-253.262599999999","-179.4773","263.262099999999","-9999","-9999","-9999","-213.767799999999","-214.6969","286.702099999999","-168.4909","-129.3369","277.8219","-204.691499999999","-220.562199999999","291.0935","-159.1568","-134.097399999999","281.990799999999","-202.5333","-224.366099999999","292.944399999999","-153.1177","-133.877399999999","282.034299999999","-175.9146","-178.7749","308.413299999999","-114.7981","-226.8008","145.731599999999","-235.315","-216.931","200.3848","-192.5898","-126.8869","189.0267","-180.759199999999","-175.9753","303.640499999999","-217.2494","-189.3057","290.347699999999","-9999","-9999","-9999","-194.2088","-210.8309","301.6539","-9999","-9999","-9999","-195.077","-181.932199999999","168.4682","-242.3631","-146.6759","289.6103","-232.031","-149.0704","289.788999999999","-190.0867","-175.744699999999","297.802","-187.345499999999","-168.9436","298.2379","-228.4445","-228.7371","252.944099999999","-239.920899999999","-197.0822","279.449599999999","-199.466399999999","-117.0494","271.406","-215.4691","-187.8651","290.400899999999","-191.9991","-142.9395","287.0695","-164.3103","-115.7757","237.406"
"African American","146","UTK DONATED","M","-194.4207","-237.439699999999","166.0327","-138.7996","-140.5343","152.330299999999","-195.2134","-165.1662","199.730899999999","-87.5883999999999","-216.755699999999","255.3146","-187.6543","-164.866199999999","287.132","-177.1494","-147.1038","283.6487","-242.931","-164.9909","257.5749","-207.479199999999","-108.0377","245.5542","-210.0011","-198.3308","279.9313","-160.341","-114.7929","263.655199999999","-202.197399999999","-203.226699999999","285.1211","-151.408099999999","-118.8174","268.721799999999","-201.533899999999","-205.9216","285.781999999999","-146.4573","-117.69","267.9316","-171.0089","-159.5266","301.5443","-108.7309","-224.0629","140.325099999999","-232.6772","-205.6105","192.6731","-181.499599999999","-121.2011","174.4315","-177.7552","-155.8571","295.6483","-216.6057","-173.5188","280.9488","-9999","-9999","-9999","-189.155599999999","-194.135799999999","296.6591","-9999","-9999","-9999","-193.382","-171.4208","165.307099999999","-237.0342","-125.4948","277.286","-225.395299999999","-130.966399999999","278.0199","-185.8356","-158.831799999999","289.468","-181.721","-149.680299999999","288.036099999999","-225.5636","-214.152999999999","246.8471","-232.356699999999","-179.2819","271.365","-188.2503","-105.945899999999","256.8575","-211.139399999999","-166.072399999999","281.8226","-187.538999999999","-126.8163","272.9864","-158.9548","-106.274","222.728199999999"
"African American","147","UTK DONATED","M","-9999","-9999","-9999","-151.3975","-140.2585","151.5849","-214.337099999999","-165.3711","187.775399999999","-109.0755","-221.1672","246.243699999999","-203.7063","-182.8939","279.4879","-191.792599999999","-160.4374","277.568899999999","-9999","-9999","-9999","-9999","-9999","-9999","-221.381499999999","-213.9144","268.3211","-176.3796","-128.9494","263.8466","-214.5188","-217.7812","271.395199999999","-167.1206","-132.679","268.044199999999","-212.6483","-222.2212","271.7062","-162.892599999999","-131.8726","265.9787","-183.7991","-178.6868","293.645899999999","-121.7587","-219.6014","140.549399999999","-242.7614","-205.444899999999","179.697399999999","-200.7302","-120.3745","173.887499999999","-190.381599999999","-175.4849","290.5457","-227.044","-191.8598","276.8097","-9999","-9999","-9999","-202.824099999999","-210.0576","283.0881","-9999","-9999","-9999","-209.3467","-168.8648","154.5581","-9999","-9999","-9999","-241.6776","-147.948299999999","285.341099999999","-199.3237","-175.811","286.402199999999","-196.290899999999","-167.0002","284.719299999999","-234.3562","-221.667599999999","236.9939","-245.917499999999","-195.5693","264.8373","-204.9404","-117.9388","261.853799999999","-228.1575","-193.2024","277.541499999999","-199.1227","-138.1647","274.7019","-172.786599999999","-115.6544","228.0308"
"African American","148","UTK DONATED","M","-239.4016","-191.122899999999","160.9951","-188.391099999999","-99.1056999999999","152.2358","-242.503199999999","-122.1041","195.5892","-130.845699999999","-188.161499999999","237.2887","-228.8974","-137.2383","287.167599999999","-215.9803","-116.681","284.026","-9999","-9999","-9999","-9999","-9999","-9999","-253.662","-167.6142","274.427799999999","-202.086099999999","-81.882","267.2108","-245.053","-173.063899999999","280.8593","-191.5444","-87.5751","273.4549","-242.3176","-176.849099999999","280.719299999999","-187.823","-88.1497999999999","272.6512","-210.677699999999","-133.7389","303.4085","-164.8768","-179.9307","130.8205","-275.9474","-163.08","187.4805","-218.9254","-76.3059999999999","179.7458","-216.5866","-130.0781","300.1546","-257.5024","-140.943199999999","279.9125","-9999","-9999","-9999","-234.0696","-168.959","290.7101","-9999","-9999","-9999","-236.2666","-127.2065","161.184699999999","-276.519","-94.3208","281.9216","-268.1467","-98.3863999999999","282.454099999999","-226.8009","-127.7734","293.8962","-223.0779","-122.3669","292.9431","-272.5556","-180.8586","236.546699999999","-278.19","-147.4942","266.5924","-231.7058","-71.305","260.667899999999","-255.3903","-138.782299999999","281.278399999999","-226.0513","-91.4038","276.9246","-198.482","-65.0605999999999","225.1398"
"African American","149","UTK DONATED","M","-200.8314","-238.2777","170.6326","-142.206099999999","-138.898599999999","170.9394","-200.053","-168.7801","205.0892","-96.6233","-235.7433","266.372","-190.9122","-186.4891","293.5011","-179.3797","-167.978399999999","292.789699999999","-237.3674","-174.8681","266.283999999999","-211.2262","-131.003999999999","263.3571","-214.3707","-215.0122","279.7192","-165.133","-135.5282","276.536","-205.709499999999","-219.590599999999","287.641799999999","-155.7876","-140.4062","283.096799999999","-205.068199999999","-224.0583","286.765199999999","-150.6226","-139.55","282.0129","-175.25","-183.375499999999","312.2362","-114.1945","-228.6431","144.404699999999","-234.6618","-206.541799999999","193.9716","-183.0489","-123.6913","190.8685","-180.1319","-180.202599999999","309.200499999999","-217.262599999999","-189.154599999999","286.5946","-9999","-9999","-9999","-193.9091","-214.2108","299.1815","-9999","-9999","-9999","-195.110999999999","-173.6165","168.473","-235.137499999999","-146.6552","297.5482","-223.5935","-152.922699999999","295.5647","-190.8249","-179.9815","301.504799999999","-184.4849","-170.2563","301.4948","-226.0303","-223.051899999999","248.3418","-237.7654","-193.937099999999","274.4048","-192.7195","-122.558899999999","271.5486","-218.3929","-190.6775","286.5165","-187.046699999999","-141.216199999999","284.637499999999","-159.4041","-122.9445","242.25"
"African American","150","UTK DONATED","M","-185.7689","-240.852399999999","159.1645","-132.670999999999","-149.0098","159.9559","-189.3658","-179.9743","202.137599999999","-86.2814999999999","-230.4102","249.681199999999","-186.173","-192.456899999999","285.531099999999","-176.0899","-172.731599999999","284.529","-9999","-9999","-9999","-9999","-9999","-9999","-205.645","-228.1901","271.4114","-161.6886","-137.0104","271.6759","-198.1961","-231.6347","276.7002","-153.386699999999","-139.663299999999","276.295","-197.714499999999","-234.2331","277.2488","-148.557999999999","-139.5239","276.9708","-169.8744","-187.896099999999","301.5933","-109.078599999999","-221.8214","137.568199999999","-224.955199999999","-220.1286","184.86","-176.6234","-124.9308","183.776199999999","-174.826899999999","-185.5944","297.6718","-211.130699999999","-200.3076","277.689599999999","-9999","-9999","-9999","-186.6327","-225.9875","289.797399999999","-9999","-9999","-9999","-185.0798","-179.89","162.276199999999","-239.734299999999","-152.494499999999","284.6616","-226.908199999999","-160.765899999999","284.2187","-183.191399999999","-185.3368","292.383699999999","-181.1063","-178.468799999999","292.0448","-216.791599999999","-237.9742","238.586199999999","-233.535599999999","-208.7182","263.2353","-193.164899999999","-126.3597","265.4187","-212.8622","-201.6396","277.567799999999","-185.4753","-145.722399999999","277.6408","-157.704399999999","-121.4079","236.8572"
"African American","151","UTK DONATED","M","-186.584399999999","-244.96","167.8555","-135.621","-150.2478","149.7629","-196.468999999999","-171.4959","193.9504","-81.5648","-219.9435","254.6629","-188.3942","-176.274599999999","284.376399999999","-175.663099999999","-154.4811","280.548999999999","-241.5081","-177.071599999999","250.466199999999","-210.8073","-120.351","241.786399999999","-210.356599999999","-208.741999999999","278.913299999999","-164.0327","-121.2787","265.6866","-202.6132","-213.0532","283.623699999999","-154.363499999999","-123.5778","271.006199999999","-199.969699999999","-216.439799999999","285.9406","-150.4164","-122.8963","270.6607","-171.995","-168.2664","303.196399999999","-106.663","-227.61","139.7333","-231.8186","-218.796899999999","187.3235","-181.3624","-122.2823","173.0095","-178.305","-165.7245","296.8688","-211.4094","-182.9042","279.7896","-9999","-9999","-9999","-190.0187","-203.5059","294.2764","-9999","-9999","-9999","-189.488","-180.318999999999","161.156399999999","-238.8667","-136.322399999999","279.644999999999","-227.1749","-141.859","279.716799999999","-189.6874","-165.9429","291.2891","-185.087099999999","-157.545099999999","290.7353","-222.234","-226.555","244.0136","-236.3761","-195.2202","270.4284","-191.1851","-109.978399999999","257.0156","-212.3595","-184.0035","280.069799999999","-184.9155","-130.781","271.468999999999","-160.0611","-109.8827","225.7226"
"African American","152","UTK DONATED","M","-207.139","-232.6112","156.0693","-148.1818","-134.7431","152.991099999999","-216.2297","-162.0737","192.9301","-95.5241999999999","-232.792599999999","247.1995","-197.1159","-185.7426","283.1777","-184.767799999999","-164.4716","282.960199999999","-9999","-9999","-9999","-9999","-9999","-9999","-219.6912","-216.160699999999","270.238","-171.152199999999","-128.454","270.071","-211.965399999999","-221.124799999999","275.1487","-162.416799999999","-133.268","275.071399999999","-211.836299999999","-224.2923","274.9128","-158.5506","-132.2861","273.8315","-179.048399999999","-183.718799999999","301.284299999999","-125.8743","-210.6451","133.961999999999","-244.3248","-207.0849","180.7204","-191.4759","-115.1746","181.091199999999","-185.300999999999","-179.5995","294.288799999999","-225.3211","-193.0642","277.6861","-9999","-9999","-9999","-201.283999999999","-213.6789","287.52","-9999","-9999","-9999","-212.572599999999","-165.2824","157.908899999999","-9999","-9999","-9999","-235.5779","-150.511699999999","282.0969","-195.1433","-178.7833","288.771","-190.5893","-169.8262","288.831799999999","-232.9144","-225.2442","234.6935","-244.2037","-195.5541","263.5532","-200.0731","-118.001499999999","264.245499999999","-220.8512","-187.8976","279.2826","-195.7827","-141.806099999999","279.928999999999","-166.806099999999","-113.9177","230.1258"
"African American","153","UTK DONATED","M","-192.0694","-243.7011","154.151999999999","-138.3813","-148.207799999999","144.8452","-215.0799","-166.7203","189.8177","-96.5871","-226.1123","256.13","-203.7251","-185.8161","284.366199999999","-189.9702","-158.031499999999","283.110599999999","-261.050999999999","-181.162","240.3922","-225.9162","-117.1774","239.946699999999","-226.7047","-221.2204","270.421899999999","-172.2684","-121.7615","265.8546","-216.3998","-226.6267","278.2133","-162.0986","-126.3676","272.621399999999","-214.8453","-229.907999999999","279.4674","-159.1087","-126.1389","271.874199999999","-186.0275","-178.2093","302.9117","-121.3896","-221.4635","139.078399999999","-236.592199999999","-220.938899999999","175.3564","-180.8837","-118.538799999999","170.6397","-191.6448","-175.667599999999","296.864399999999","-231.989399999999","-192.5642","276.947799999999","-9999","-9999","-9999","-205.1789","-218.6571","290.4019","-9999","-9999","-9999","-204.230899999999","-174.741099999999","151.135099999999","-256.363999999999","-139.836299999999","277.372","-244.555","-146.3323","276.1505","-200.416699999999","-172.5165","291.5167","-198.7338","-167.1449","290.4288","-237.079","-234.6764","229.5329","-257.512499999999","-199.402199999999","260.1164","-207.8744","-109.3082","256.5631","-230.493699999999","-190.377399999999","277.992999999999","-198.3193","-133.562","276.5627","-170.2911","-109.1358","221.938899999999"
"Cuba","172","MUSEO MONTANE HAVANA","M","93.4214","-69.4742999999999","246.9701","124.3772","-173.781299999999","243.3646","134.241099999999","-117.8002","307.5715","1.3365","-150.817","299.636599999999","87.3118999999999","-123.546899999999","375.6032","91.5597999999999","-144.1105","373.2443","-9999","-9999","-9999","-9999","-9999","-9999","84.9008999999999","-82.9923","369.7418","109.9531","-179.9357","362.651099999999","73.2226","-85.3309","368.4644","98.6661","-185.176999999999","363.138199999999","67.6952","-84.8315","364.7481","97.0794999999999","-186.586199999999","355.635299999999","70.0541999999999","-139.764299999999","386.799699999999","-9999","-9999","-9999","127.2443","-59.0140999999999","298.1732","154.6749","-166.830099999999","292.2108","78.6889999999999","-137.294","382.839299999999","98.5456999999999","-95.9258999999999","381.7735","-9999","-9999","-9999","64.0221999999999","-101.7805","376.7871","-9999","-9999","-9999","146.990299999999","-112.2934","270.776599999999","-9999","-9999","-9999","131.4686","-124.5732","395.695899999999","86.3705999999999","-131.2226","381.554899999999","87.3669","-137.861999999999","381.562799999999","96.1447","-59.8292","338.5362","115.031499999999","-75.9308","373.589","138.8767","-170.3426","366.9852","101.3926","-103.2167","384.0067","113.2042","-157.206099999999","380.0034","131.0629","-188.394499999999","332.025899999999"
"Cuba","173","MUSEO MONTANE HAVANA","M","94.9886999999999","-82.6012","245.418399999999","130.1999","-186.9076","243.497099999999","136.626399999999","-126.9023","298.173499999999","1.0739","-167.7581","303.4943","88.2091999999999","-128.6629","374.4571","92.6692","-147.5748","372.5002","-9999","-9999","-9999","-9999","-9999","-9999","85.8021999999999","-87.3135999999999","361.7486","110.4644","-183.474899999999","360.171299999999","74.9972999999999","-90.5361999999999","363.6709","101.616","-187.4059","362.276099999999","71.0862","-90.9950999999999","358.654499999999","98.9726","-189.626499999999","355.512099999999","70.1505999999999","-143.824999999999","383.0156","80.1157999999999","-149.424","201.623099999999","132.2751","-71.1229","285.512099999999","162.465499999999","-176.1258","288.1266","80.1045","-142.321","381.1936","99.6235999999999","-98.0202","373.0359","-9999","-9999","-9999","67.8652","-104.882099999999","374.2022","-9999","-9999","-9999","144.1994","-125.3198","261.0127","-9999","-9999","-9999","140.9394","-121.8623","386.1254","89.8918","-132.981599999999","380.000999999999","91.796","-142.854","379.8942","93.3983999999999","-70.1602","331.966099999999","111.014","-82.8217","364.7388","135.4291","-174.5147","364.180999999999","100.6421","-104.6956","374.5581","114.4638","-161.0874","375.0894","130.7947","-194.542399999999","324.6492"
"Cuba","174","MUSEO MONTANE HAVANA","M","92.4515999999999","-71.9277","236.3082","132.125","-175.9838","246.4256","134.288","-115.7063","299.7289","4.60329999999999","-158.876399999999","296.896","86.3726999999999","-123.739","379.7182","93.8746","-141.8639","378.060999999999","-9999","-9999","-9999","-9999","-9999","-9999","84.5321","-83.2622","368.708599999999","115.407","-174.7877","364.4318","71.3649999999999","-86.7609999999999","369.444399999999","105.5988","-180.692399999999","365.2669","67.2918999999999","-85.7129999999999","364.237","103.3157","-181.9103","359.2379","70.8375999999999","-142.8672","390.6496","69.5261","-137.4361","196.574999999999","126.9278","-62.4470999999999","288.7878","160.9274","-161.1234","284.634799999999","79.3846999999999","-139.3476","390.4467","99.7526","-92.1831999999999","380.0778","-9999","-9999","-9999","64.7025","-98.6769","378.0359","-9999","-9999","-9999","140.1164","-113.4582","260.0557","-9999","-9999","-9999","137.7525","-116.1253","393.2404","87.778","-128.005","387.0871","91.6607","-138.224999999999","387.2425","97.8002999999999","-62.4677","336.4094","113.4346","-78.1513999999999","371.9957","142.743799999999","-158.7084","369.2679","101.562","-102.0684","384.9472","119.0868","-151.8333","382.473599999999","140.0934","-178.9883","331.558899999999"
"Cuba","175","MUSEO MONTANE HAVANA","M","103.4428","-82.4930999999999","246.4581","134.1645","-187.815499999999","245.7555","142.2148","-128.021999999999","295.5271","11.6236999999999","-160.5104","297.2397","96.8863999999999","-130.354199999999","371.006399999999","103.337","-151.7006","370.279699999999","146.1875","-96.2159","355.906299999999","158.997899999999","-152.9546","352.946","94.7176999999999","-91.7257","363.039699999999","120.9622","-187.3965","360.238499999999","85.1377999999999","-94.2121999999999","364.519","112","-189.917399999999","362.5133","81.29","-91.555","360.113699999999","111.224","-192.414099999999","358.009","81.7239","-147.252399999999","381.5391","59.4005","-144.383999999999","200.2272","137.771099999999","-72.3256999999999","286.772699999999","164.1929","-177.6518","288.400199999999","89.9839","-144.762599999999","379.421699999999","110.8799","-102.892","373.4026","-9999","-9999","-9999","77.5914999999999","-108.5568","372.441399999999","-9999","-9999","-9999","147.736899999999","-125.019499999999","258.4966","-9999","-9999","-9999","147.223099999999","-130.1183","386.590899999999","98.1171999999999","-138.9935","378.445299999999","99.9026999999999","-145.2723","378.8154","106.0099","-71.6992999999999","335.3247","126.7805","-85.0822","365.567","150.3329","-175.0038","363.662399999999","112.646","-110.3779","374.3614","125.1923","-159.7521","374.026099999999","142.2046","-197.1704","330.9126"
"Cuba","176","MUSEO MONTANE HAVANA","M","98.614","-61.7783999999999","301.466799999999","134.258299999999","-174.6962","293.2821","140.7812","-110.7333","347.1689","4.69289999999999","-153.400499999999","344.939","74.1597","-128.173","417.139","80.5871","-152.1942","416.094699999999","131.092999999999","-82.0572999999999","402.4042","152.9939","-138.455299999999","407.3603","74.4073999999999","-90.1059","409.0498","99.8519","-186.2684","409.351299999999","62.7272","-91.0103","410.1211","103.7095","-178.167399999999","411.425","57.2509","-90.6611999999999","406.424199999999","100.985699999999","-179.7398","403.1872","73.2318999999999","-135.0188","429.588399999999","59.2464","-139.753099999999","251.1843","131.3625","-56.2038","336.0758","162.3843","-159.185599999999","334.5113","78.7483","-132.9446","427.734399999999","88.6637999999999","-103.4479","419.5511","-9999","-9999","-9999","55.5840999999999","-106.0083","419.7871","-9999","-9999","-9999","-9999","-9999","-9999","138.3179","-125.8121","437.018599999999","125.5547","-129.3856","432.351499999999","77.7125999999999","-134.883199999999","425.646799999999","81.1028","-145.786","426.103299999999","87.4548999999999","-69.5294999999999","379.992399999999","101.837599999999","-87.1835999999999","412.756199999999","125.8101","-176.7785","410.9785","89.9881","-112.1059","420.303099999999","103.8023","-160.474899999999","420.5056","-9999","-9999","-9999"
"Cuba","177","MUSEO MONTANE HAVANA","M","104.0658","-76.9915","247.821599999999","136.6645","-189.9034","243.116","140.7966","-129.4609","293.5518","7.9229","-167.436299999999","303.0278","94.2179","-132.557899999999","374.532899999999","100.0996","-152.7328","373.797399999999","-9999","-9999","-9999","-9999","-9999","-9999","90.5439999999999","-91.1988999999999","363.896599999999","121.6757","-189.8324","360.5199","81.7404999999999","-92.1777","364.3186","112.6731","-192.1774","360.3475","77.2984","-89.9529","361.136199999999","110.8608","-196.386699999999","356.7336","78.7720999999999","-149.0427","388.473099999999","69.8465999999999","-145.2544","208.6749","139.5936","-72.3041","290.0967","172.211999999999","-176.5834","286.199099999999","91.1102999999999","-145.846499999999","383.726699999999","107.6681","-100.2383","375.148199999999","-9999","-9999","-9999","72.8547999999999","-108.2669","377.224699999999","-9999","-9999","-9999","147.9512","-127.272","262.040599999999","-9999","-9999","-9999","147.315499999999","-130.749699999999","392.257099999999","98.4960999999999","-138.566399999999","382.4288","99.2776","-146.175","382.3365","105.354699999999","-71.2263999999999","332.9223","121.4304","-81.4916","367.181699999999","150.5244","-183.737699999999","360.4974","108.6841","-108.7353","376.8874","125.4717","-166.7373","376.4755","142.9015","-197.310499999999","325.0077"
