:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	100	1	257,9853	150,7207	364,9135	198,1635	73,9015	370,3575	256,2834	155,6479	362,5748	216,4668	124,1783	388,0366	224,4796	117,7689	385,2669	
Darkorange	Dot	101	1	186,1647	251,4384	381,7471	174,1429	147,9636	377,0676	185,5198	255,8526	376,4964	159,992	199,8633	398,6856	167,2037	200,411	397,9899	
Darkorange	Dot	102	1	103,2757	306,6617	361,0189	120,0467	201,8209	355,4717	102,1183	308,8792	355,314	97,1718	252,5302	377,6949	104,8489	253,7565	376,9772	
Darkorange	Dot	104	1	187,587	248,7759	377,6224	176,207327	151,101231	376,04459	184,6542	251,6161	373,4996	163,9056	205,4723	391,9884	175,4437	200,8369	392,56	
Darkorange	Dot	105	1	239,8746	138,0854	364,5681	180,5189	58,1795	361,9133	237,9496	143,4442	362,2642	199,1527	105,745	384,2344	205,5009	101,7442	380,9369	
Darkorange	Dot	106	1	207,0596	234,5982	376,0389	182,9792	135,7899	382,6933	203,6746	237,5277	372,9744	180,6319	188,4886	393,6875	190,5903	187,1188	394,2192	
Darkorange	Dot	107	1	124,8962	277,3465	388,3622	105,1357	178,7261	387,8599	125,5143	278,5501	384,6326	99,6379	230,47	403,9065	111,1378	228,5829	403,4256	
Darkorange	Dot	108	1	225,0248	228,1617	378,7125	197,7973	127,7013	376,844	223,949	230,8435	373,8775	195,9401	183,9315	400,3974	203,8261	181,1124	399,2379	
Darkorange	Dot	109	1	235,3731	227,7651	382,2326	211,0697	126,9605	383,3104	233,7958	229,2416	378,6333	214,5834	178,7088	406,5704	221,83	177,2377	400,6106	
Darkorange	Dot	110	1	107,1427	307,8987	365,7761	115,1185	207,4399	370,8331	104,083	309,1291	363,4709	97,8959	255,724	388,7875	104,9653	257,63	388,5314	
