Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);M3;Left;Superior;9.5;11
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);I1;Right;Superior;13.5;10.4
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);I2;Right;Superior;8.3;8.1
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);C;Right;Superior;13.8;10.8
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);Pm3;Right;Superior;8.8;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);Pm4;Right;Superior;8.7;12.3
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);M1;Right;Superior;11.1;13.1
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);M2;Right;Superior;10.1;13
Pongo pygmaeus;Cleveland Museum of Natural History;1055;Female;Original (Mahler);M3;Right;Superior;9.2;11.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);I1;Left;Inferior;7;9.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);I2;Left;Inferior;8.2;10.3
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);C;Left;Inferior;10;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm3;Left;Inferior;10.1;12.7
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);Pm4;Left;Inferior;10.3;12
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M1;Left;Inferior;12.5;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M2;Left;Inferior;13.3;12.9
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);M3;Left;Inferior;13.4;12.9
Pongo pygmaeus;Cleveland Museum of Natural History;1168;Female;Original (Mahler);I1;Right;Inferior;7.4;9.7
