Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);I1;Right;Inferior;9.5;10.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);I2;Right;Inferior;9.2;11.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);Pm3;Right;Inferior;11.3;16.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);Pm4;Right;Inferior;11.7;13.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M1;Right;Inferior;14.1;13.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M2;Right;Inferior;15.4;15
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M3;Right;Inferior;14.9;13.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);Pm3;Left;Superior;10.2;13.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);Pm4;Left;Superior;10.4;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M1;Left;Superior;13.2;14.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M2;Left;Superior;14.5;15.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M3;Left;Superior;11.5;12.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);Pm3;Right;Superior;10.2;14.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);Pm4;Right;Superior;10.4;14.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M1;Right;Superior;13.1;14.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M2;Right;Superior;14.4;15.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42189;Male;Original (Mahler);M3;Right;Superior;11;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);I1;Left;Superior;12.4;10.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);I2;Left;Superior;8.6;8.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);C;Left;Superior;12.5;9.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);Pm3;Left;Superior;10.1;11.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);Pm4;Left;Superior;8.9;11.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);M1;Left;Superior;10.6;11.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);M2;Left;Superior;10.9;12.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);M3;Left;Superior;10.5;11.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);I1;Right;Superior;12.3;10.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);I2;Right;Superior;8.3;8.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);C;Right;Superior;12.6;9.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);Pm3;Right;Superior;9.4;11.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);Pm4;Right;Superior;8.7;11.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);M1;Right;Superior;11.2;11.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);M2;Right;Superior;11;12.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42190;Female;Original (Mahler);M3;Right;Superior;10.4;11.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);I1;Left;Inferior;8.5;9.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);I2;Left;Inferior;9;9.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm3;Left;Inferior;9.9;12.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm4;Left;Inferior;10.4;11.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M1;Left;Inferior;13.1;12.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M2;Left;Inferior;13;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M3;Left;Inferior;13.3;11.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);I1;Right;Inferior;8.7;9.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);I2;Right;Inferior;9.2;9.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);C;Right;Inferior;9.4;12.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm3;Right;Inferior;9.8;12.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm4;Right;Inferior;9.6;11.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M1;Right;Inferior;13.1;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M2;Right;Inferior;12.9;12.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M3;Right;Inferior;13.3;12
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);C;Left;Superior;13;11.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm3;Left;Superior;9.6;12.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm4;Left;Superior;9.4;12.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M1;Left;Superior;12.1;13.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M2;Left;Superior;11.5;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M3;Left;Superior;10.8;12.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);C;Right;Superior;13.2;11
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm3;Right;Superior;9.6;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);Pm4;Right;Superior;8.8;12.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M1;Right;Superior;11.8;13.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42191;Female;Original (Mahler);M2;Right;Superior;11.1;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);I2;Left;Inferior;10.2;11.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm3;Left;Inferior;12.1;16.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm4;Left;Inferior;12.1;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M1;Left;Inferior;14.6;13.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M2;Left;Inferior;15.2;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M3;Left;Inferior;15.6;13.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm3;Right;Inferior;12;15.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm4;Right;Inferior;11.7;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M1;Right;Inferior;14.5;13.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M2;Right;Inferior;14.7;14.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M3;Right;Inferior;15;13.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm4;Left;Superior;10.4;14.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M1;Left;Superior;13.1;15.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M2;Left;Superior;12.8;15.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M3;Left;Superior;12.2;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm3;Right;Superior;10.8;14.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);Pm4;Right;Superior;10.2;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M1;Right;Superior;12.9;15.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M2;Right;Superior;12.5;15.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42194;Male;Original (Mahler);M3;Right;Superior;12.2;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);Pm4;Left;Inferior;11.2;13
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M1;Left;Inferior;14.2;13.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M2;Left;Inferior;14.6;14.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M3;Left;Inferior;15.2;13
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);Pm3;Right;Inferior;11.3;17.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);Pm4;Right;Inferior;11.1;13.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M1;Right;Inferior;14.5;13.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M3;Right;Inferior;15;12.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);Pm4;Left;Superior;10.3;14.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M1;Left;Superior;13.3;14.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M2;Left;Superior;12.7;15.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);Pm4;Right;Superior;10.1;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M1;Right;Superior;12.9;14.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42195;Male;Original (Mahler);M2;Right;Superior;12.7;15.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);I2;Left;Inferior;9.7;10.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm3;Left;Inferior;11.3;16
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm4;Left;Inferior;11.5;13
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M1;Left;Inferior;13.8;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M2;Left;Inferior;14.7;13.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M3;Left;Inferior;16;13.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);I2;Right;Inferior;9.4;11
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm3;Right;Inferior;11.3;16.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm4;Right;Inferior;11.2;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M1;Right;Inferior;14.3;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M3;Right;Inferior;15.6;13.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);I1;Left;Superior;15.4;13.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);I2;Left;Superior;9.3;9.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm3;Left;Superior;10.9;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm4;Left;Superior;10.6;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M1;Left;Superior;12.4;14.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M2;Left;Superior;12;15.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M3;Left;Superior;12.9;14.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm3;Right;Superior;11.7;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);Pm4;Right;Superior;10.8;13.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M1;Right;Superior;12.5;15
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M2;Right;Superior;12.2;15.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42196;Male;Original (Mahler);M3;Right;Superior;12.6;14.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);I1;Left;Inferior;10;9.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);I2;Left;Inferior;9.9;9.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm3;Left;Inferior;12;16.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm4;Left;Inferior;12.5;12.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M1;Left;Inferior;14.2;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M2;Left;Inferior;14.5;13.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M3;Left;Inferior;17.7;12.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);I2;Right;Inferior;9.7;10.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm3;Right;Inferior;11.6;16.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm4;Right;Inferior;12.2;12.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M1;Right;Inferior;14.4;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M2;Right;Inferior;14.8;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M3;Right;Inferior;16.5;12.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm3;Left;Superior;10.8;14.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm4;Left;Superior;10.2;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M1;Left;Superior;13.1;15.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M3;Left;Superior;11.8;14.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm3;Right;Superior;10.9;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);Pm4;Right;Superior;10.3;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M1;Right;Superior;13.2;15.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M2;Right;Superior;12.2;15.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42197;Male;Original (Mahler);M3;Right;Superior;12;14.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);I1;Left;Inferior;8.8;9.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);I2;Left;Inferior;9.5;10
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm3;Left;Inferior;10.9;15.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm4;Left;Inferior;10.9;12
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M1;Left;Inferior;13.9;12.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M2;Left;Inferior;14;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M3;Left;Inferior;13;12.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);I1;Right;Inferior;.;9.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);I2;Right;Inferior;.;10.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);C;Right;Inferior;11.8;15.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm3;Right;Inferior;10.7;15.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm4;Right;Inferior;11.1;12.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M1;Right;Inferior;13.9;12.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M2;Right;Inferior;13.9;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M3;Right;Inferior;13.8;12.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm4;Left;Superior;10;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M1;Left;Superior;13.3;14.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M2;Left;Superior;12.7;14.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M3;Left;Superior;12.5;13.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm3;Right;Superior;9.3;13.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);Pm4;Right;Superior;9.8;13.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M1;Right;Superior;12.8;14
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M2;Right;Superior;12.5;15.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42199;Male;Original (Mahler);M3;Right;Superior;12;13.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm3;Left;Inferior;8.5;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm4;Left;Inferior;10.1;10.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M1;Left;Inferior;12.5;10.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M2;Left;Inferior;13.8;12.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M3;Left;Inferior;13.9;11.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm3;Right;Inferior;8.6;13.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm4;Right;Inferior;10.1;10.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M1;Right;Inferior;12.5;11
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M2;Right;Inferior;13.4;12.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M3;Right;Inferior;13.3;11.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm3;Left;Superior;9.5;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm4;Left;Superior;9.7;12.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M1;Left;Superior;11.2;12.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M2;Left;Superior;12.3;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);I1;Right;Superior;13.3;10.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);I2;Right;Superior;8.9;8.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);C;Right;Superior;13.7;10.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm3;Right;Superior;9.6;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);Pm4;Right;Superior;9.4;12.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M1;Right;Superior;11.3;12.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;42202;Female;Original (Mahler);M2;Right;Superior;12.5;13.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);I1;Left;Inferior;7.5;9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);I2;Left;Inferior;8;9.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm3;Left;Inferior;9.6;13.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm4;Left;Inferior;9.8;10.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M1;Left;Inferior;12;11.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M2;Left;Inferior;11.9;12.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M3;Left;Inferior;13.2;12
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);I1;Right;Inferior;7.9;9.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);I2;Right;Inferior;8.6;9.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);C;Right;Inferior;9.2;12
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm3;Right;Inferior;9.5;13.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm4;Right;Inferior;9.8;10.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M1;Right;Inferior;12.1;11.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M2;Right;Inferior;11.7;12
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M3;Right;Inferior;12.6;11.9
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);I1;Left;Superior;11.5;9.8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);I2;Left;Superior;7.8;8
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);C;Left;Superior;12.9;10.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm3;Left;Superior;9.5;11.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm4;Left;Superior;8.9;12.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M1;Left;Superior;10.2;12.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M2;Left;Superior;10.5;13.4
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M3;Left;Superior;11.3;13.7
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);C;Right;Superior;12.8;10.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm3;Right;Superior;9.4;11.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);Pm4;Right;Superior;8.9;12.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M1;Right;Superior;10.7;12.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M2;Right;Superior;10.5;13.2
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45300;Female;Original (Mahler);M3;Right;Superior;11.4;.
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45301;Male;Original (Mahler);I1;Left;Inferior;9.6;11.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45301;Male;Original (Mahler);I2;Left;Inferior;.;11.6
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45301;Male;Original (Mahler);C;Left;Inferior;13.6;16.5
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45301;Male;Original (Mahler);Pm3;Left;Inferior;10.8;17.1
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45301;Male;Original (Mahler);Pm4;Left;Inferior;11;11.3
Pongo pygmaeus;Smithsonian Institution, US Museum of Natural History;45301;Male;Original (Mahler);M1;Left;Inferior;13.7;11.7
